Date,Miners_Revenue,Difficuly,Cost_Per_Transaction,Average_Block_Size,Total_Bitcoins,Average_Transaction_Confirmation_time
10/04/2021,64092742.42249990000,23137439666472.00,214.295361275686,1.3513014267516,18679081.25,10.58333333
09/04/2021,62936805.50828610000,23137439666472.00,191.393850721902,1.3286036842105,18678250,11.15833333
08/04/2021,53025106.53857860000,23137439666472.00,190.372114494383,1.3142138507463,18677181.25,11.51666667
07/04/2021,61699929.39559070000,23137439666472.00,192.020793652385,1.3041266496815,18676443.75,10.18333333
06/04/2021,58865753.67391370000,23137439666472.00,190.156360292389,1.3430273680556,18675456.25,9.991666667
05/04/2021,62213130.42119340000,23137439666472.00,215.236088446798,1.4087214102564,18674437.5,7.733333333
04/04/2021,56501558.97777340000,23137439666472.00,229.674598599932,1.3700521849315,18673475,9.791666667
03/04/2021,54056516.12378910000,23137439666472.00,188.148315131458,1.3121621603053,18672575,16.425
02/04/2021,57243512.86298460000,23064760716651.30,187.199997589783,1.3142766285714,18671912.5,11.825
01/04/2021,58722692.65813850000,21865558044611.00,188.250563918389,1.3365909241379,18671037.5,11.33333333
31/03/2021,63698731.01194600000,21865558044611.00,191.431772933790,1.3453399490446,18669943.75,10.55
30/03/2021,58978791.97986800000,21865558044611.00,183.683054532586,1.3123324041096,18669068.75,10.22916667
29/03/2021,59732041.28817980000,21865558044611.00,193.563782768064,1.2829920132450,18668187.5,9.433333333
28/03/2021,58772016.35476230000,21865558044611.00,236.407217693780,1.3152392515723,18667306.25,7.45
27/03/2021,59212965.29536140000,21865558044611.00,203.627228130724,1.2981473333333,18666212.5,9.116666667
26/03/2021,49554041.05561000000,21865558044611.00,168.775045317291,1.3186356691176,18665112.5,10.00833333
25/03/2021,55913485.57796880000,21865558044611.00,171.372876218228,1.3164960000000,18664456.25,9.9
24/03/2021,56905120.72907350000,21865558044611.00,186.517293838513,1.3536179868421,18663350,9.591666667
23/03/2021,60904323.71943130000,21865558044611.00,190.356944626724,1.3523681428571,18662475,8.666666667
22/03/2021,58540676.97897900000,21865558044611.00,196.834931505258,1.3574443841060,18661368.75,9.166666667
21/03/2021,60066262.67738390000,21865558044611.00,250.674039526848,1.4553190641026,18660493.75,6.716666667
20/03/2021,61522483.49524510000,21865558044611.00,214.402900508960,1.3352810064935,18659612.5,9.758333333
19/03/2021,61617467.94631130000,21524403218194.30,193.870483237195,1.3230333175676,18658518.75,12.46666667
18/03/2021,64386085.97207120000,21448277761060.00,191.550004081941,1.2618810921053,18657637.5,11.69583333
17/03/2021,54456146.87951970000,21448277761060.00,181.493870497392,1.2929001544118,18656756.25,10.65
16/03/2021,57657199.41954250000,21448277761060.00,180.464671900613,1.3241554765101,18655875,9.933333333
15/03/2021,59673362.68696070000,21448277761060.00,204.199289900663,1.3563101891892,18655000,10.03333333
14/03/2021,64756375.03469500000,21448277761060.00,210.213845267635,1.3161392038217,18653906.25,9.216666667
13/03/2021,59410978.32581380000,21448277761060.00,214.424331313932,1.4070241888112,18653031.25,13.65
12/03/2021,60000114.24336440000,21448277761060.00,187.065429886028,1.3148880666667,18652156.25,11.57083333
11/03/2021,52736912.57451840000,21448277761060.00,181.074053029299,1.2848289015152,18651062.5,11.19166667
10/03/2021,57652864.47640340000,21448277761060.00,167.261014240134,1.2999367449664,18650406.25,12.2
09/03/2021,52888356.46482320000,21448277761060.00,176.481592036970,1.3111606500000,18649312.5,10.25
08/03/2021,53803631.21964560000,21448277761060.00,184.287411483432,1.4102301354839,18648437.5,9.033333333
07/03/2021,49451162.50304930000,21448277761060.00,189.657713280519,1.3697756849315,18647562.5,7.733333333
06/03/2021,49711918.89213490000,21473685655440.30,172.633008032750,1.3520916250000,18646687.5,10.36666667
05/03/2021,49815984.01444390000,21724134900047.00,156.762489818251,1.3239122080537,18645812.5,12.56666667
04/03/2021,45722350.32302360000,21724134900047.00,155.973386014367,1.2875538515625,18644718.75,12.575
03/03/2021,55147754.83271210000,21724134900047.00,164.499857813575,1.3010074013158,18644056.25,10.72916667
02/03/2021,50567917.70753800000,21724134900047.00,147.464445250551,1.3094418531469,18642956.25,11.75
01/03/2021,44513744.09941870000,21724134900047.00,158.702761642935,1.3479327307692,18642075,11.47083333
28/02/2021,40396048.67600170000,21724134900047.00,158.841947325381,1.3644879694656,18641418.75,12.05833333
27/02/2021,51148405.64582980000,21724134900047.00,159.448119749831,1.2918701656051,18640543.75,10.81666667
26/02/2021,47395143.79732200000,21724134900047.00,154.675812612011,1.2936843309353,18639450,12.06666667
25/02/2021,57792548.41540150000,21724134900047.00,173.997424070744,1.3010018846154,18638568.75,8.408333333
24/02/2021,59746178.57906680000,21724134900047.00,164.351419781933,1.3099372327044,18637687.5,11.63333333
23/02/2021,48487887.64094230000,21724134900047.00,165.177048080035,1.2983365118110,18636587.5,12.46666667
22/02/2021,52905473.90020500000,21724134900047.00,185.384111528034,1.3349590000000,18635925,10.11666667
21/02/2021,57635434.78941170000,21724134900047.00,209.433368784586,1.4457590921986,18635050,8.575
20/02/2021,59691256.68759850000,21724134900047.00,186.258699391835,1.3216123972603,18634168.75,9.5375
19/02/2021,59244126.43753820000,21455226865438.40,173.438391613058,1.3286418235294,18633293.75,10.98333333
18/02/2021,53678746.90878640000,21434395961349.00,163.731590163633,1.3050502846715,18632200,11.48333333
17/02/2021,51285528.64317580000,21434395961349.00,161.444815130281,1.2910194710145,18631531.25,11.13333333
16/02/2021,42832906.95827330000,21434395961349.00,144.516333179053,1.2968272396694,18630656.25,11.35
15/02/2021,51761591.27857070000,21434395961349.00,165.507334341302,1.3219647549669,18629781.25,9.966666667
14/02/2021,50339561.18150950000,21434395961349.00,168.780841770804,1.3239068993289,18628900,10.25
13/02/2021,53952453.19167500000,21434395961349.00,157.624357455556,1.3193575095541,18628025,11.91666667
12/02/2021,53308083.08241420000,21434395961349.00,152.720718401672,1.2729824577465,18626925,11.5
